device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price
10,0,14.5,1,0,13.0,5.0,64.0,3.0,3020.0,146.0,2020,127,4.307572449,4.715100245
10,0,17.3,1,1,13.0,16.0,128.0,8.0,4300.0,213.0,2020,325,5.162096647,5.519017936
10,0,16.69,1,1,13.0,8.0,128.0,8.0,4200.0,213.0,2020,162,5.111083765,5.884630724
10,0,25.5,1,1,13.0,8.0,64.0,6.0,7250.0,480.0,2020,345,5.135386588,5.630960854
10,0,15.32,1,0,13.0,8.0,64.0,3.0,5000.0,185.0,2020,293,4.389994804,4.947837479
10,0,16.23,1,0,13.0,8.0,64.0,4.0,4000.0,176.0,2020,223,4.413888608,5.060694494
10,0,13.84,1,0,8.0,5.0,32.0,2.0,3020.0,144.0,2020,234,3.878259375,4.518958489
10,0,15.77,1,0,13.0,8.0,64.0,4.0,3400.0,164.0,2020,219,4.729421148,5.18872569
10,0,15.32,1,0,13.0,16.0,128.0,6.0,4000.0,165.0,2020,161,4.886054204,5.299916088
10,0,16.23,1,0,13.0,8.0,128.0,6.0,4000.0,176.0,2020,327,4.773223771,5.073610093
10,0,15.47,1,0,13.0,8.0,64.0,3.0,3020.0,150.0,2020,268,4.26703657,4.713665782
10,0,15.32,1,0,13.0,8.0,64.0,4.0,5000.0,185.0,2020,344,4.657383057,4.770176021
10,0,16.69,1,1,13.0,16.0,128.0,8.0,4100.0,206.0,2019,537,5.383255763,6.213967894
10,0,15.32,1,0,13.0,16.0,64.0,4.0,4000.0,171.5,2019,336,4.617592706,5.398750764
10,0,14.5,1,0,13.0,5.0,32.0,2.0,3020.0,146.0,2019,230,4.111365547,4.487512143
10,0,16.23,1,0,13.0,8.0,64.0,4.0,4000.0,176.0,2019,248,4.411221293,4.866225902
10,0,15.9,1,0,13.0,32.0,128.0,6.0,3750.0,172.0,2019,395,5.022366217,5.517934708
10,0,16.74,1,0,13.0,16.0,64.0,4.0,4000.0,206.0,2019,421,4.777020443,5.193179048
10,0,14.5,1,0,13.0,5.0,32.0,2.0,3020.0,146.0,2019,532,4.248638089,4.792313433
10,0,25.43,1,0,5.0,2.0,32.0,3.0,5100.0,173.0,2019,266,4.267877613,5.517051209
10,0,20.32,1,0,8.0,8.0,32.0,3.0,5100.0,173.0,2019,321,4.556295018,5.304001183
23,0,20.32,0,0,8.0,0.3,16.0,1.0,5680.0,453.6,2013,933,4.45213555,5.48438191
9,0,15.29,1,0,13.0,16.0,32.0,3.0,3850.0,170.0,2019,187,4.560800238,5.195730778
9,0,12.88,1,0,13.0,13.0,64.0,4.0,3075.0,150.0,2019,499,4.595624773,5.39771011
9,0,15.29,1,0,13.0,8.0,32.0,3.0,3300.0,160.0,2019,497,4.426521875,5.006091654
9,0,15.24,1,0,13.0,14.5,128.0,6.0,3930.0,180.0,2019,202,5.213467289,6.039968956
9,0,15.29,1,0,13.0,16.0,64.0,4.0,3850.0,170.0,2019,493,4.636668853,5.631426812
11,0,15.37,1,1,10.5,16.0,128.0,6.0,4000.0,192.0,2020,91,4.905496976,5.520380334
11,0,15.37,1,1,10.5,16.0,64.0,6.0,4000.0,182.0,2020,299,4.820442843,5.39603374
11,0,15.32,1,0,10.5,16.0,128.0,4.0,4000.0,163.0,2020,354,4.577901759,5.558024257
11,0,15.32,1,0,10.5,16.0,128.0,4.0,4000.0,163.0,2020,306,4.872828107,5.478970866
11,0,20.32,1,0,5.0,2.0,16.0,2.0,5100.0,310.0,2020,231,4.170533701,4.598246271
11,0,15.37,1,1,10.5,16.0,128.0,8.0,4000.0,189.0,2020,205,4.709440107,5.765661212
11,0,25.5,1,0,8.0,8.0,64.0,4.0,7250.0,450.0,2020,211,5.133088887,5.51877732
11,0,16.71,1,1,10.5,16.0,256.0,8.0,4200.0,226.0,2020,120,6.153455837,7.244220373
11,0,16.23,1,0,10.5,8.0,64.0,4.0,4000.0,176.0,2020,161,4.644390899,5.0681492
11,0,25.6,1,1,13.0,8.0,128.0,6.0,7250.0,460.0,2020,139,5.18245748,6.310336373
11,0,16.23,1,0,10.5,8.0,64.0,4.0,4000.0,176.0,2020,93,4.322143925,4.95342982
11,0,16.74,1,0,13.0,16.0,128.0,6.0,4000.0,206.0,2019,460,5.065439086,5.672429397
11,0,15.34,1,0,13.0,16.0,128.0,8.0,4200.0,183.0,2019,223,4.931375613,5.634110801
11,0,25.6,1,0,13.0,8.0,128.0,6.0,7250.0,460.0,2019,256,4.997685135,6.107267847
11,0,15.9,1,0,13.0,32.0,64.0,6.0,4000.0,178.0,2019,206,4.99653637,5.294560318
