device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price
10,0,14.5,1,0,13.0,5.0,64.0,3.0,3020.0,146.0,2020,127,431.0,472.0
10,0,17.3,1,1,13.0,16.0,128.0,8.0,4300.0,213.0,2020,325,516.0,552.0
10,0,16.69,1,1,13.0,8.0,128.0,8.0,4200.0,213.0,2020,162,511.0,588.0
10,0,25.5,1,1,13.0,8.0,64.0,6.0,7250.0,480.0,2020,345,514.0,563.0
10,0,15.32,1,0,13.0,8.0,64.0,3.0,5000.0,185.0,2020,293,439.0,495.0
10,0,16.23,1,0,13.0,8.0,64.0,4.0,4000.0,176.0,2020,223,441.0,506.0
10,0,15.77,1,0,13.0,8.0,64.0,4.0,3400.0,164.0,2020,219,473.0,519.0
10,0,15.32,1,0,13.0,16.0,128.0,6.0,4000.0,165.0,2020,161,489.0,530.0
10,0,16.23,1,0,13.0,8.0,128.0,6.0,4000.0,176.0,2020,327,477.0,507.0
10,0,15.47,1,0,13.0,8.0,64.0,3.0,3020.0,150.0,2020,268,427.0,471.0
10,0,15.32,1,0,13.0,8.0,64.0,4.0,5000.0,185.0,2020,344,466.0,477.0
10,0,16.69,1,1,13.0,16.0,128.0,8.0,4100.0,206.0,2019,537,538.0,621.0
10,0,15.32,1,0,13.0,16.0,64.0,4.0,4000.0,171.5,2019,336,462.0,540.0
10,0,16.23,1,0,13.0,8.0,64.0,4.0,4000.0,176.0,2019,248,441.0,487.0
10,0,15.9,1,0,13.0,32.0,128.0,6.0,3750.0,172.0,2019,395,502.0,552.0
10,0,16.74,1,0,13.0,16.0,64.0,4.0,4000.0,206.0,2019,421,478.0,519.0
10,0,14.5,1,0,13.0,5.0,32.0,2.0,3020.0,146.0,2019,532,425.0,479.0
10,0,25.43,1,0,5.0,2.0,32.0,3.0,5100.0,173.0,2019,266,427.0,552.0
10,0,20.32,1,0,8.0,8.0,32.0,3.0,5100.0,173.0,2019,321,456.0,530.0
23,0,20.32,0,0,8.0,0.3,16.0,1.0,5680.0,453.6,2013,933,445.0,548.0
9,0,15.29,1,0,13.0,16.0,32.0,3.0,3850.0,170.0,2019,187,456.0,520.0
9,0,12.88,1,0,13.0,13.0,64.0,4.0,3075.0,150.0,2019,499,460.0,540.0
9,0,15.29,1,0,13.0,8.0,32.0,3.0,3300.0,160.0,2019,497,443.0,501.0
9,0,15.24,1,0,13.0,14.5,128.0,6.0,3930.0,180.0,2019,202,521.0,604.0
9,0,15.29,1,0,13.0,16.0,64.0,4.0,3850.0,170.0,2019,493,464.0,563.0
11,0,15.37,1,1,10.5,16.0,128.0,6.0,4000.0,192.0,2020,91,491.0,552.0
11,0,15.37,1,1,10.5,16.0,64.0,6.0,4000.0,182.0,2020,299,482.0,540.0
11,0,15.32,1,0,10.5,16.0,128.0,4.0,4000.0,163.0,2020,354,458.0,556.0
