device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price
10,0,13.84,1,0,8.0,5.0,32.0,2.0,3020.0,144.0,2020,234,388.0,452.0
10,0,14.5,1,0,13.0,5.0,32.0,2.0,3020.0,146.0,2019,230,411.0,449.0
11,0,20.32,1,0,5.0,2.0,16.0,2.0,5100.0,310.0,2020,231,417.0,460.0
11,0,10.16,0,0,5.0,2.0,16.0,4.0,1700.0,136.1,2014,666,358.0,470.0
11,0,17.78,0,0,3.15,0.3,8.0,1.0,4100.0,350.0,2013,819,398.0,502.0
14,0,12.7,0,0,5.0,0.3,8.0,0.5,3000.0,147.6,2016,819,350.0,411.0
15,0,15.47,1,0,8.0,5.0,16.0,2.0,4000.0,172.0,2019,267,394.0,459.0
15,0,17.78,1,0,2.0,2.0,32.0,1.0,3590.0,236.0,2019,528,390.0,461.0
13,1,5.28,1,0,2.0,13.0,8.0,1.0,1470.0,127.0,2020,343,388.0,502.0
13,0,14.5,1,0,8.0,8.0,32.0,3.0,3450.0,170.0,2020,166,423.0,487.0
13,0,13.84,1,0,8.0,5.0,16.0,1.0,3000.0,152.0,2019,380,409.0,461.0
13,0,7.62,0,0,2.0,1.3,4.0,0.5,1540.0,140.45,2014,750,303.0,393.0
17,0,10.16,0,0,2.0,0.3,0.5,0.25,1500.0,146.5,2014,1016,304.0,393.0
17,0,7.75,0,0,0.3,0.3,0.5,0.25,1500.0,89.0,2014,956,239.0,366.0
17,0,10.03,0,0,2.0,0.3,0.2,0.25,2000.0,85.0,2013,680,286.0,424.0
17,0,10.16,0,0,2.0,0.3,16.0,4.0,2000.0,89.0,2013,733,311.0,409.0
17,0,7.75,0,0,0.3,0.3,16.0,4.0,2000.0,89.0,2013,1029,299.0,388.0
20,0,16.56,1,0,0.3,8.0,64.0,3.0,4000.0,200.0,2020,310,419.0,500.0
20,0,13.84,1,0,0.3,5.0,16.0,2.0,3000.0,180.0,2020,193,362.0,410.0
20,0,13.84,1,0,0.3,5.0,16.0,2.0,3000.0,180.0,2020,356,406.0,459.0
20,1,5.18,0,0,0.3,0.0,0.1,0.03,1020.0,90.5,2020,272,291.0,340.0
20,1,5.18,0,0,0.3,0.0,0.06,0.02,1200.0,88.2,2020,266,337.0,370.0
22,0,10.29,1,0,8.0,5.0,8.0,1.0,2000.0,135.0,2015,1076,402.0,501.0
23,0,12.93,1,0,8.0,8.0,64.0,4.0,3090.0,173.0,2019,523,418.0,535.0
23,0,15.39,1,0,2.0,8.0,32.0,2.0,5000.0,206.5,2020,153,408.0,479.0
23,0,12.83,1,0,2.0,5.0,16.0,2.0,2700.0,153.0,2020,123,363.0,425.0
23,0,12.7,1,0,2.0,5.0,32.0,4.0,4000.0,234.0,2020,220,397.0,470.0
29,0,15.8,1,0,8.0,5.0,16.0,2.0,4030.0,163.5,2019,456,397.0,449.0
